column_name,data_type,character_maximum_length
ID_LOC,char,5
ID_SO,varchar,9
SUFX_SO,numeric,NULL
ID_OPER,numeric,NULL
ID_ITEM_COMP,varchar,30
TYPE_REC,numeric,NULL
SEQ,numeric,NULL
KEY_1,varchar,35
ID_LOC_1,char,5
ID_DEPT,char,4
ID_WC,char,4
KYFILLER_2,varchar,8
STAT_REC_OPER_1,char,1
DATE_DUE_OPER,datetime,NULL
TIME_DUE_OPER,numeric,NULL
CODE_PRIOR,numeric,NULL
DATE_START_OPER,datetime,NULL
TIME_START_OPER,numeric,NULL
KEY_3,varchar,10
TYPE_REC_1,numeric,NULL
ID_LOC_2,char,5
ID_SO_1,varchar,9
SUFX_SO_1,numeric,NULL
ID_OPER_1,numeric,NULL
FLAG_STAT_OPER,numeric,NULL
DATE_OPER,numeric,NULL
TIME_OPER,numeric,NULL
STAT_REC_OPER,char,1
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1,char,2
CODE_USER_2,char,4
CODE_USER_3,varchar,10
QTY_ORD,numeric,NULL
QTY_CMPL,numeric,NULL
QTY_CMPL_EDIT,numeric,NULL
QTY_CMPL_UEDT,numeric,NULL
QTY_REJ,numeric,NULL
QTY_REJ_EDIT,numeric,NULL
QTY_REJ_UEDT,numeric,NULL
QTY_SCRAP,numeric,NULL
QTY_SCRAP_EDIT,numeric,NULL
QTY_SCRAP_UEDT,numeric,NULL
CODE_UM,char,2
HR_LABOR_SF,numeric,NULL
HR_LABOR_ACTUAL_SF,numeric,NULL
HR_LABOR_ACTUAL_EDIT,numeric,NULL
HR_LABOR_ACTUAL_UEDT,numeric,NULL
CODE_LG,char,2
TYPE_OPER,char,1
TYPE_OPER_SUB,char,1
REF,varchar,8
DESCR_OPER_1,varchar,30
DESCR_OPER_2,varchar,30
QUEUE_WC_ADDL,numeric,NULL
FLAG_OPER_CNTPNT,char,1
HR_MACH_SF,numeric,NULL
HR_MACH_ACTUAL_SF,numeric,NULL
HR_MACH_ACTUAL_EDIT,numeric,NULL
HR_MACH_ACTUAL_UEDT,numeric,NULL
CODE_USER,char,4
SIZE_CREW,numeric,NULL
CODE_LOAD_WC,char,1
CODE_CLASS_SETUP,char,1
FLAG_EST_STD,char,1
SEQ_PATH,numeric,NULL
QTY_STN_WC,numeric,NULL
FLAG_TYPE_SCHD,numeric,NULL
DATE_CONSTR,datetime,NULL
TIME_CONSTR,numeric,NULL
NOTE_REASON,varchar,20
ID_USER_CONSTR,char,3
DATE_START_PLAN,datetime,NULL
DATE_DUE_PLAN,datetime,NULL
DATE_START_ACTUAL,datetime,NULL
TIME_START_ACTUAL,numeric,NULL
DATE_END_ACTUAL,datetime,NULL
TIME_END_ACTUAL,numeric,NULL
CODE_LABOR,char,1
ID_OPER_SETUP,numeric,NULL
FLAG_DIR_INDIR,char,1
QUEUE_COMPRESS_PREV,numeric,NULL
CODE_PRIOR_SCHD,numeric,NULL
FLAG_RDC_LOAD,numeric,NULL
FLAG_OPER_CRIT,numeric,NULL
RESERVED_DEV,numeric,NULL
RESERVED_DEV_1,numeric,NULL
TYPE_OPER_IO,numeric,NULL
CODE_PROC_OP,varchar,15
FLAG_INSP_RQRD,numeric,NULL
CODE_UM_VND,char,2
RATIO_STK_PUR,numeric,NULL
CODE_FRT,char,4
QTY_CARTON_PER,numeric,NULL
WGT_SHIP_TOTAL,numeric,NULL
VOL_SHIP_TOTAL,numeric,NULL
TYPE_COST,char,2
ID_OPER_TIEDTO,numeric,NULL
ID_CELL,varchar,8
FLAG_POST_CELL,numeric,NULL
CODE_GROUP_OPER,varchar,30
ID_STN,varchar,8
ID_STN_MAX,numeric,NULL
ID_STN_MIN,numeric,NULL
rowid,int,NULL
rowversion,timestamp,NULL
ID_BADGE,varchar,9
ID_INSP_SPEC,varchar,10
ID_NC,varchar,10
ID_SKILL,varchar,30
LEVEL_SKILL,numeric,NULL
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
